SpectraSuite Data File
++++++++++++++++++++++++++++++++++++
Date: Thu Nov 07 10:05:43 EST 2024
User: Physics
Dark Spectrum Present: Yes
Reference Spectrum Present: No
Number of Sampled Component Spectra: 1
Spectrometers: USB2G57144
Integration Time (usec): 25000 (USB2G57144)
Spectra Averaged: 10 (USB2G57144)
Boxcar Smoothing: 0 (USB2G57144)
Correct for Electrical Dark: No (USB2G57144)
Strobe/Lamp Enabled: No (USB2G57144)
Correct for Detector Non-linearity: No (USB2G57144)
Correct for Stray Light: No (USB2G57144)
Number of Pixels in Processed Spectrum: 651
>>>>>Begin Processed Spectral Data<<<<<
640.00	2935.70
641.00	2927.93
642.00	2919.06
643.00	2904.84
644.00	2832.47
645.00	2884.26
646.00	2901.25
647.00	2895.10
648.00	2882.15
649.00	2864.09
650.00	2866.15
651.00	2843.13
652.00	2835.69
653.00	2833.93
654.00	2837.47
655.00	2798.63
656.00	2797.01
657.00	2772.47
658.00	2726.41
659.00	2689.31
660.00	2644.01
661.00	2602.19
662.00	2562.59
663.00	2559.19
664.00	2695.64
665.00	2696.93
666.00	2743.01
667.00	2760.28
668.00	2755.43
669.00	2756.13
670.00	2763.33
671.00	2747.44
672.00	2719.45
673.00	2723.16
674.00	2719.40
675.00	2714.47
676.00	2683.70
677.00	2664.89
678.00	2588.39
679.00	2607.08
680.00	2649.53
681.00	2630.44
682.00	2630.54
683.00	2625.89
684.00	2611.15
685.00	2610.76
686.00	2559.62
687.00	2563.08
688.00	2544.38
689.00	2562.14
690.00	2289.20
691.00	2540.16
692.00	2530.52
693.00	2472.02
694.00	2449.51
695.00	2430.00
696.00	2415.64
697.00	2391.91
698.00	2383.25
699.00	2367.63
700.00	2331.76
701.00	2316.25
702.00	2297.64
703.00	2293.67
704.00	2256.83
705.00	2252.59
706.00	2228.09
707.00	2220.59
708.00	2204.87
709.00	2194.40
710.00	2180.35
711.00	2161.30
712.00	2147.32
713.00	2126.60
714.00	2103.76
715.00	2102.15
716.00	2086.02
717.00	2067.93
718.00	2053.79
719.00	2042.86
720.00	2035.63
721.00	2006.36
722.00	1988.76
723.00	1983.40
724.00	1981.22
725.00	1971.88
726.00	1979.18
727.00	1956.11
728.00	1923.71
729.00	1922.75
730.00	1900.92
731.00	1909.57
732.00	1874.30
733.00	1856.52
734.00	1868.04
